原单词,词性,中文释义
a,art.,一(个、件…)
abandon,v.,"放弃,遗弃,沉溺"
ability,n.,能力; 才能
able,a.,能够;有能力的
abnormal,a.,"反常的,不正常的,不规则的"
aboard,ad.,"在船上,在火车上,在飞机上"
aboard,prep.,在…之上
abolish,v.,"废止,革除"
abortion,n.,"流产,堕胎"
about,ad.,大约;到处;四处
about,prep.,关于;在各处;四处
abroad,ad.,到(在)国外
abrupt,a.,"突然的,唐突的"
absence,n.,"不在,缺席"
absent,a.,"缺席, 不在"
absolute,a.,"绝对的,完全的"
absolute,n.,绝对
absorb,v.,"吸收,吸引…的注意,使全神贯注"
abstract,n.,摘要
abstract,a.,抽象的
abstract,v.,"摘要,抽炼"
absurd,a.,荒唐的
abundant,a.,"丰富的,充裕的"
abuse,n.,"滥用,恶习"
abuse,v.,"滥用,辱骂,虐待"
academic,a.,"学院的,理论的,学术性的"
academy,n.,"学院,学术,学会"
accederate,v.,加速
accent,n.,"口音,音调"
accept,vt.,接受
access,n.,"通路,进入,使用之权"
access,v.,存取
accessible,a.,"可得到的,易接近的,可进入的"
accident,n.,"事故,意外的事"
accommodation,n.,"住处,膳宿"
accompany,v.,"陪伴,带有"
accomplish,v.,完成
account,n.,"帐目,报告,估计"
account,v.,"叙述,解释"
accountant,n.,会计
accumulate,v.,"积聚,堆积"
accuracy,n.,"准确(性),精确度"
accurate,a.,"准确的,精确的"
accuse,v.,"责备,控告"
accustom,v.,使…习惯
achieve,vt.,"达到,取得"
achievement,n.,"成就,成绩,完成,达到"
acid,a.,酸的
acid,n.,酸
acknowledge,v.,"承认,答谢,告知收到"
acquaintance,n.,"熟人,相识"
acquire,v.,"获得,取得,学到"
acquisition,n.,"获得,所获之物"
acre,n.,英亩
across,prep.,"横过,穿过"
act,n.,"法令,条例"
act,v.,"(戏)表演,扮演(角色),演出(戏);行动,做事"
action,n.,行动
active,a.,"积极的,主动的"
activity,n.,活动
actor,n.,男演员
actress,n.,女演员
actual,a.,实际的; 现实的
acute,a.,"敏锐的,激烈的,尖锐的"
ad,n.,公元
adapt,v.,"使...适应,改编"
adaptation,n.,"改编,适应,改编成的作品"
add,vt.,"添加,增加"
addicted,a.,沉溺于某种嗜好中的
addition,n.,增加;(算数用语)加
address,n.,地址
adequate,a.,"足够的,充足的,适当的,能胜任的"
adjust,v.,"调整,使...适于"
adjustment,n.,调整
administration,n.,"行政,管理,中央政府"
admirable,a.,"令人钦佩的,令人赞赏的"
admire,v.,钦佩; 羡慕
admission,n.,"准入, 接纳"
admit,vt.,"承认,准许(入场,入学,入会)"
adolescence,n.,青春期
adolescent,a.,"青春期的,青少年的"
adolescent,n.,青少年
adopt,v.,"采用,收养,接受"
adore,v.,"崇拜,爱慕,喜爱"
adult,n.,成年人
advance,v.,"推进,促进;前进"
advantage,n.,优点; 好处
adventure,n.,冒险; 奇遇
advertise,vt.,为…做广告
advice,n.,"忠告,劝告,建议"
advise,vt.,"忠告,劝告,建议"
advocate,n.,"提倡者,拥护者"
advocate,v.,"主张,提倡"
affair,n.,"事,事情"
affect,vt.,"影响;作用,感动"
affection,n.,"影响,作用,慈爱,爱,感情"
afford,vt.,负担得起(…的费用);抽得出(时间);提供
afraid,a.,害怕的;担心
african,a.,"非洲的,非洲人的"
african,n.,非洲人
after,ad.,在后;后来
after,prep.,在…之后;在后面
after,conj.,在…以后
afternoon,n.,"下午,午后"
afterwards,ad.,后来
again,ad.,"再一次;再,又"
against,prep.,"对着,反对"
age,n.,年龄;时代
agency,n.,"代理,代理处"
agenda,n.,议事日程
agent,n.,"经纪人,特工"
aggressive,a.,侵略的;咄咄逼人的
ago,ad.,以前
agree,v.,同意;应允
agreement,n.,"同意,一致;协定,协议"
agricultural,a.,农业的
agriculture,n.,"农业,农学"
ahead,ad.,"在前,向前"
aid,n.,援助;救护;辅助器具
aids,n.,艾滋病
air,n.,空气;大气
aircraft,n.,飞机(单复数同)
airline,n.,航空公司;航空系统
airmail,n.,航空邮件 2
airplane,n.,(美)飞机
airport,n.,"航空站,飞机场"
airspace,n.,"上空,空气,空间"
alarm,n.,警报
album,n.,"集邮本,照相簿,唱片簿"
alcohol,n.,酒精
alcoholic,n.,"酒鬼,酒精中毒的人"
algebra,n.,代数学
alike,a.,"相似的,同样的"
alive,a.,"活着的,存在的"
allergic,a.,过敏的
alley,n.,"小路,巷"
allocate,v.,"分派,分配,分配额"
allow,vt.,"允许,准许"
allowance,n.,"限额,定量,津贴,零用钱"
almost,ad.,"几乎,差不多"
alone,a.,"单独的,孤独的"
along,ad.,向前;和…一起;一同
along,prep.,沿着;顺着
alongside,ad.,在旁边
alongside,prep.,在...旁边
aloud,ad.,大声地
alphabet,n.,字母表
already,ad.,已经
also,ad.,也
alternative,a.,两者择一的
alternative,v.,两者取一
although,conj.,"虽然,尽管"
altitude,n.,"高度,海拔"
altogether,ad.,总共
aluminium,n.,铝
always,ad.,总是;一直;永远
amateur,a.,业余的
amateur,n.,业余爱好者
amazing,a.,令人惊异的
american,a.,美国的;美国人的
american,n.,美国人
ambassador,n.,大使
ambiguous,a.,模棱两可的
ambition,n.,"雄心,野心"
ambition,vt.,"有...野心,追求"
ambulance,n.,救护车
among,prep.,在…中间;在(三个以上)之间
amount,n.,"数量,总额"
amount,v.,"总计,等于"
ample,a.,"充足的,丰富的"
amuse,vt.,"(使人)快乐,逗乐"
amusement,n.,娱乐
analysis,n.,"分析,解析"
ancestor,n.,祖宗; 祖先
anchor,n.,铁锚
anchor,v.,"停泊,抛锚,用锚系住"
ancient,a.,"古代的,古老的"
and,conj.,和;又;而
anecdote,n.,"轶事,奇闻"
anger,n.,"怒,愤怒"
angry,a.,"生气的,愤怒的"
animal,n.,动物
ankle,n.,"踝,踝关节"
announce,vt.,"宣布,宣告"
announcement,n.,"公告,告示"
anniversary,n.,周年纪念(日)
annoy,vt.,(使)烦恼
annual,a.,"每年的,年度的"
annual,n.,"年刊,年鉴"
announcement,n.,"通告,通知"
another,a.,再一;另一;别的;不同的
another,pron.,另一个
answer,n.,"回答,答复;回信;答案"
answer,v.,"回答,答复;回信;(作出)答案"
ant,n.,蚂蚁
antarctic,a.,南极的
antique,n.,古董
anxiety,n.,"焦虑,挂念,担心,渴望,热望"
anxious,a.,"忧虑的,焦急的"
any,pron.,(无论)哪一个;哪些 任何的;(用于疑问句、否定句)一些;什么
anyhow,ad.,不管怎样
anyone,pron.,"任何人,无论谁"
anybody,pron.,"任何人,无论谁"
anything,pron.,什么事(物);任何事(物)
anyway,ad.,不管怎样
anywhere,ad.,任何地方
apart,ad.,"分别地,分开的"
apartment,n.,"(美)楼中单元房,一套房间;"
apologize,vi.,"道歉,谢罪"
apology,n.,道歉;歉意
apparent,a.,"明显的,表面上的"
appeal,n.,"恳求,上诉,吸引力"
appeal,v.,"求助,诉请,呼吁"
appear,vi.,出现
appearance,n.,"出现,露面;容貌"
appendix,n.,附录
appetite,n.,"爱好,嗜好,食欲,胃口,欲望"
applaud,v.,"拍手喝采,称赞,赞同"
apple,n.,苹果
applicant,n.,申请人
application,n.,申请
apply,v.,"申请, 应用,专心于"
appoint,v.,"任命,指定"
appointment,n.,约会
appreciate,v.,欣赏; 感激
appreciation,n.,"赏识,鉴识,感激"
approach,n.,"途径,方法"
approach,v.,"靠近,接近"
appropriate,a.,适当的
approval,n.,"批准,认可,同意,赞同"
approve,v.,"赞同,核准,证实"
approximately,ad.,"近似地,大约"
april,n.,4月
apron,n.,围裙
arbitrary,a.,"任意的,恣意的,专制的"
arch,n.,"拱门,弓形"
arch,v.,"成弓形弯曲,成弓形"
architect,n.,建筑师
architecture,n.,建筑学
arctic,a.,"北极的,极寒的"
arctic,n.,"北极圈,北极"
are,v.,是
area,n.,"面积;地域,地方,区域;范围,领域"
argue,vi.,"争辩, 争论"
argument,n.,"争论,辩论"
arithmetic,n.,算术
arm 1,n.,"臂, 支架"
arm 2,v.,"以…装备,武装起来"
arm 2,n.,"(美)武器,武力"
armchair,n.,扶手椅
army,n.,军队
arrange,v.,"安排,布置"
arrangement,n.,"安排,布置"
arrest,n.,"逮捕,监禁"
arrest,v.,"拘捕,妨碍,吸引"
arrival,n.,"到来,到达"
arrive,vi.,到达;达到
arrow,n.,箭;箭头
art,n.,"艺术,美术;技艺"
article,n.,"文章;东西,物品;冠词"
artificial,a.,"人造的,虚伪的,武断的"
ash,n.,灰; 灰末
ashamed,a.,惭愧; 害臊
asian,a.,"亚洲的,亚洲人的"
asian,n.,亚洲人
aside,ad.,在旁边
ask,v.,"问,询问;请求,要求;邀请"
asleep,a.,"睡着的,熟睡"
aspect,n.,"方面,外貌,外观"
assess,v.,"估定,评定"
assessment,n.,"估价,评估"
assist,n.,"帮助,协助"
assist,v.,协助
assistance,n.,"帮助,援助"
assistant,n.,"助手,助理"
associate,n.,"同伴,伙伴"
associate,v.,"联合,联想"
association,n.,"联合,结合,交往,协会,社团"
assume,vt.,"假定,设想,承担"
assumption,n.,"假定,设想"
astonish,vt.,使惊讶
astronaut,n.,宇航员
astronomer,n.,天文学家
astronomy,n.,天文学
at,prep.,在(几点钟);在(某处)
athlete,n.,运动员
athletic,a.,运动的
atlantic,a.,大西洋的
atmosphere,n.,大气;气氛
atom,n.,"原子,微粒"
